wind_speed,30.000000,75.000000,120.000000,165.000000,210.000000,255.000000,300.000000,345.000000
1.000000,-1285717.139528,-1285722.993552,-1285736.985977,-1285751.419351,-1285758.339882,-1285753.210546,-1285738.509824,-1285723.359869
2.000000,-1285697.493174,-1285709.729799,-1285736.798215,-1285764.749336,-1285779.117028,-1285769.828698,-1285739.905585,-1285709.042536
3.000000,-1285678.803327,-1285697.491519,-1285736.708977,-1285777.290573,-1285799.390133,-1285786.973431,-1285741.615811,-1285694.588086
4.000000,-1285661.179874,-1285686.434326,-1285736.737108,-1285788.958553,-1285818.718005,-1285804.507335,-1285743.681332,-1285680.498982
5.000000,-1285645.046575,-1285676.431554,-1285736.818256,-1285799.789031,-1285837.087823,-1285821.902100,-1285746.008131,-1285666.872526
6.000000,-1285630.603484,-1285667.169127,-1285736.936909,-1285809.775944,-1285853.992375,-1285838.698513,-1285747.581810,-1285654.033083
7.000000,-1285617.440580,-1285658.850988,-1285737.136409,-1285819.066611,-1285869.845851,-1285855.046569,-1285761.214075,-1285642.123906
8.000000,-1285605.777731,-1285651.449235,-1285737.397014,-1285827.584594,-1285883.839920,-1285870.454419,-1285752.703116,-1285631.345101
9.000000,-1285595.405991,-1285644.630131,-1285737.655507,-1285835.336553,-1285897.010629,-1285884.306931,-1285756.382519,-1285621.576071
