wind_speed,30.000000,75.000000,120.000000,165.000000,210.000000,255.000000,300.000000,345.000000
1.000000,-1285705.257475,-1285713.168140,-1285731.299682,-1285749.995198,-1285759.220296,-1285752.749748,-1285733.272650,-1285713.138604
2.000000,-1285679.489778,-1285696.278652,-1285731.040350,-1285766.810649,-1285786.256018,-1285775.101383,-1285735.063977,-1285693.681882
3.000000,-1285655.064719,-1285681.190086,-1285730.975315,-1285782.201417,-1285812.420706,-1285798.542289,-1285737.321149,-1285673.759342
4.000000,-1285632.246417,-1285668.091952,-1285731.154262,-1285796.127562,-1285837.222283,-1285822.599431,-1285740.111034,-1285653.816284
5.000000,-1285611.687849,-1285656.771874,-1285731.407280,-1285808.572428,-1285860.242388,-1285846.767912,-1285743.316364,-1285634.367633
6.000000,-1285593.311025,-1285647.005310,-1285731.910339,-1285819.596089,-1285881.315162,-1285870.402415,-1285746.792796,-1285615.852099
7.000000,-1285577.325989,-1285638.775208,-1285732.439689,-1285829.315489,-1285900.104087,-1285893.065987,-1285756.954398,-1285598.557230
8.000000,-1285563.622301,-1285631.964864,-1285733.041841,-1285837.734806,-1285916.868497,-1285914.183514,-1285788.213247,-1285583.118245
9.000000,-1285552.167386,-1285626.313752,-1285733.741037,-1285845.105088,-1285931.159097,-1285933.416657,-1285744.100783,-1285569.425129
