group_key,landed_longitude,landed_latitude,landing_range
"(1.0,)",131.0141999603144,31.220719985199658,-1285696.8620418322
"(1.0,)",131.0141740581178,31.22073855804481,-1285696.672499431
"(1.0,)",131.01417262204848,31.220760602015336,-1285694.7880923836
"(1.0,)",131.0141925768132,31.22077461400261,-1285692.4087108383
"(1.0,)",131.01422606633847,31.22077080582316,-1285690.852028973
"(1.0,)",131.01424674982678,31.220754066826387,-1285691.1735415263
"(1.0,)",131.01424733083144,31.22073250896593,-1285693.063022773
"(1.0,)",131.01422837004517,31.220718288634924,-1285695.4046989996
"(2.0,)",131.01418754521643,31.22069423079212,-1285699.861612914
"(2.0,)",131.01413887733383,31.22072989347813,-1285699.4371766883
"(2.0,)",131.0141354040511,31.22077457287386,-1285695.6496656088
"(2.0,)",131.0141762269247,31.22080262076337,-1285690.8370512933
"(2.0,)",131.01423983870623,31.22079604201204,-1285687.8218186453
"(2.0,)",131.01428003133927,31.22076284872148,-1285688.5059523727
"(2.0,)",131.0142823783263,31.22071932601517,-1285692.254116121
"(2.0,)",131.0142433177574,31.220691389268147,-1285696.9570235687
"(3.0,)",131.01417518572987,31.22066825647408,-1285702.8776459133
"(3.0,)",131.01410272820078,31.220721106990343,-1285702.2675597197
"(3.0,)",131.01409462985055,31.22078990259476,-1285696.5914388115
"(3.0,)",131.01415932802632,31.2208313279068,-1285689.2340301862
"(3.0,)",131.01425384209884,31.2208214017249,-1285684.7675126484
"(3.0,)",131.0143179739848,31.220770100979752,-1285685.7108442103
"(3.0,)",131.0143156707063,31.220706809372288,-1285691.4851791186
"(3.0,)",131.01426270144142,31.22066253103044,-1285698.4328587253
"(4.0,)",131.0141651816137,31.22064090501181,-1285705.8831169468
"(4.0,)",131.01406924917472,31.220710462446903,-1285705.1124438068
"(4.0,)",131.01405472396874,31.22080488892264,-1285697.5146771576
"(4.0,)",131.01414580950134,31.22085955213145,-1285687.4826713286
"(4.0,)",131.01427060945738,31.220846185833835,-1285681.6080320897
"(4.0,)",131.01435374543294,31.22077843181108,-1285682.942497971
"(4.0,)",131.01434945180554,31.220694098568355,-1285690.705891391
"(4.0,)",131.01427970369707,31.220634351736287,-1285699.9829991907
"(5.0,)",131.01415515389422,31.22061302858628,-1285708.9367381425
"(5.0,)",131.0140311698127,31.22070111589364,-1285708.1020707537
"(5.0,)",131.01401345168247,31.220820390654595,-1285698.4693373954
"(5.0,)",131.0141280865722,31.220889866451888,-1285685.7830076443
"(5.0,)",131.0142878147319,31.22087134972915,-1285678.3898893339
"(5.0,)",131.01439260816133,31.22078610679208,-1285680.05760457
"(5.0,)",131.01438126417523,31.220682140400093,-1285689.97096902
"(5.0,)",131.01429934361445,31.2206046421598,-1285701.5202581324
"(6.0,)",131.01414718595393,31.22058344593234,-1285712.0258808017
"(6.0,)",131.01399161450553,31.2206915647818,-1285711.1935150016
"(6.0,)",131.01397084130744,31.220836396725307,-1285699.4548040354
"(6.0,)",131.01410954161352,31.22092125657791,-1285684.033966284
"(6.0,)",131.01430786763774,31.220896347149623,-1285675.0253512592
"(6.0,)",131.01443251980325,31.22079386621993,-1285677.1057932386
"(6.0,)",131.01441421805276,31.220669750844184,-1285689.2098879497
"(6.0,)",131.014319620262,31.22057421922873,-1285703.0850851259
"(7.0,)",131.01413893059998,31.220553055225977,-1285715.203355756
"(7.0,)",131.01395067436755,31.220681744599453,-1285714.3873704874
"(7.0,)",131.0139287645266,31.220852183906068,-1285700.4295874226
"(7.0,)",131.01409029643042,31.22095370503027,-1285682.2302097962
"(7.0,)",131.01432842400283,31.220922081933804,-1285671.566553562
"(7.0,)",131.0144738276821,31.220801520155348,-1285674.0843358305
"(7.0,)",131.01444788777914,31.220657112918023,-1285688.4304299753
"(7.0,)",131.0143409347131,31.22054299075751,-1285704.6629920597
"(8.0,)",131.0141321723742,31.22052069585797,-1285718.4716138903
"(8.0,)",131.01391030116773,31.22067062158348,-1285717.6653044713
"(8.0,)",131.01388324713307,31.22086928403917,-1285701.482127105
"(8.0,)",131.01407254022592,31.22098664915757,-1285680.2979503355
"(8.0,)",131.0143516785929,31.22094818108376,-1285667.922483816
"(8.0,)",131.01451940568933,31.22080803722044,-1285670.9224802044
"(8.0,)",131.01449184924368,31.2206405876251,-1285687.4149012896
"(8.0,)",131.01436610549726,31.22050980962379,-1285706.1966849007
