wind_speed,30.000000,75.000000,120.000000,165.000000,210.000000,255.000000,300.000000,345.000000
1.000000,-1285714.400208,-1285720.704908,-1285735.957645,-1285751.754097,-1285759.349731,-1285753.831369,-1285737.816831,-1285721.261654
2.000000,-1285692.902466,-1285706.097631,-1285735.626349,-1285766.202334,-1285782.031709,-1285772.005676,-1285739.436119,-1285705.658666
3.000000,-1285672.420651,-1285692.690916,-1285735.425891,-1285779.782294,-1285804.128603,-1285790.775981,-1285741.359694,-1285689.915144
4.000000,-1285653.070899,-1285680.542121,-1285735.359600,-1285792.389654,-1285825.246485,-1285809.914198,-1285743.688673,-1285674.511823
5.000000,-1285635.305487,-1285669.593257,-1285735.383374,-1285804.074600,-1285845.262233,-1285828.906644,-1285746.249156,-1285659.623800
6.000000,-1285619.449827,-1285659.567634,-1285735.476437,-1285814.774733,-1285863.676057,-1285847.304561,-1285747.988938,-1285645.534171
7.000000,-1285604.857113,-1285650.670985,-1285735.667145,-1285824.655340,-1285880.866605,-1285865.192189,-1285762.658855,-1285632.397528
8.000000,-1285592.105967,-1285642.804017,-1285735.946828,-1285833.606771,-1285896.118781,-1285882.082316,-1285749.253076,-1285620.474656
9.000000,-1285580.703417,-1285635.814713,-1285736.273650,-1285841.612354,-1285910.355276,-1285897.332875,-1285757.610790,-1285609.660254
