group_key,landed_longitude,landed_latitude,landing_range
"(1.0,)",131.0139886162938,31.22063714165894,-1285716.216325077
"(1.0,)",131.0139782207739,31.22057946043593,-1285721.948534873
"(1.0,)",131.01391770940273,31.22047002523432,-1285735.1335017455
"(1.0,)",131.01383679330243,31.220370546951404,-1285748.5859632278
"(1.0,)",131.01378328670637,31.22033382215432,-1285754.8905151284
"(1.0,)",131.01378931654304,31.220385996374183,-1285749.8965683961
"(1.0,)",131.01385382068688,31.220501136446423,-1285735.9768029563
"(1.0,)",131.0139385390599,31.220606435300496,-1285721.790018189
"(2.0,)",131.01406180426287,31.22079723114383,-1285697.7966278829
"(2.0,)",131.01404109461694,31.220676088461,-1285709.7718561594
"(2.0,)",131.0139251054546,31.22046437230581,-1285735.2188042584
"(2.0,)",131.01376771402892,31.220272419278498,-1285761.2477577876
"(2.0,)",131.0136545660262,31.220196233530448,-1285774.4482268258
"(2.0,)",131.01366104192513,31.22029377791741,-1285765.383242651
"(2.0,)",131.01379603355812,31.22052653833905,-1285736.983755444
"(2.0,)",131.01396554707577,31.220743016238,-1285708.0815017726
"(3.0,)",131.01411402143205,31.22096010789144,-1285680.3158570037
"(3.0,)",131.01408912450083,31.220771647904822,-1285698.5309832445
"(3.0,)",131.01392486212316,31.22046273645736,-1285735.3784556733
"(3.0,)",131.01369262230253,31.22018660207156,-1285773.152237586
"(3.0,)",131.01351212350949,31.220072655795743,-1285793.5335291948
"(3.0,)",131.01351237001924,31.22020736814653,-1285781.506920961
"(3.0,)",131.01371755442307,31.220561796565164,-1285738.2834851388
"(3.0,)",131.01397653885428,31.220890787690887,-1285694.282051317
"(4.0,)",131.01414818070995,31.22112292968282,-1285663.862540422
"(4.0,)",131.0141198930201,31.220865269921333,-1285688.440279919
"(4.0,)",131.0139161901772,31.22046550528809,-1285735.622581014
"(4.0,)",131.01361104559248,31.22011462490108,-1285784.1897609262
"(4.0,)",131.01336061059044,31.219963014796377,-1285811.8896632306
"(4.0,)",131.0133435639138,31.22012991178737,-1285797.972305335
"(4.0,)",131.01361558626607,31.220608254802737,-1285739.9145906407
"(4.0,)",131.01396875445968,31.221048994659206,-1285680.615307558
"(5.0,)",131.0141649568561,31.22128345298383,-1285648.5985500081
"(5.0,)",131.01414270271678,31.220955345407862,-1285679.1164982903
"(5.0,)",131.01390339881578,31.22047049951314,-1285735.901515363
"(5.0,)",131.01352629447564,31.220053068229127,-1285794.4778059372
"(5.0,)",131.01320123533358,31.219869940106506,-1285829.2137498374
"(5.0,)",131.01315727104523,31.220063105560783,-1285814.4782182996
"(5.0,)",131.0134875368838,31.220667429979617,-1285741.8886446555
"(5.0,)",131.01394338178258,31.221215023088977,-1285667.247150422
"(6.0,)",131.0141624131464,31.221438893312303,-1285634.881867159
"(6.0,)",131.0141507653054,31.221042594537863,-1285670.8798004235
"(6.0,)",131.01388396710763,31.220478968196083,-1285736.2466201987
"(6.0,)",131.01344267851275,31.21999859369795,-1285804.0700461196
"(6.0,)",131.01303880087775,31.21979147917548,-1285845.4079471813
"(6.0,)",131.0129564130855,31.22000791040628,-1285830.773570277
"(6.0,)",131.01334396372084,31.22073425944375,-1285744.05933601
"(6.0,)",131.01389749752235,31.221384438981048,-1285654.7385416618
"(7.0,)",131.01414487207975,31.22158711241128,-1285622.6584177895
"(7.0,)",131.0141536799902,31.2211256231498,-1285663.3109683977
"(7.0,)",131.01386268890005,31.22048851464321,-1285736.6001752825
"(7.0,)",131.01335569884102,31.219956910661296,-1285812.7121048027
"(7.0,)",131.01287595809205,31.219727530478487,-1285860.3312198592
"(7.0,)",131.01274534026783,31.219965862652515,-1285846.4750731203
"(7.0,)",131.01340630685635,31.220775822009383,-1285736.822965393
"(7.0,)",131.0138339436891,31.221554831788502,-1285643.1435456877
"(8.0,)",131.0141135824747,31.22172628457788,-1285612.0202956565
"(8.0,)",131.0141480025112,31.221204535304047,-1285656.595752699
"(8.0,)",131.01383621485556,31.220500790453286,-1285737.004554753
"(8.0,)",131.01327137846363,31.219920133350275,-1285820.766139776
"(8.0,)",131.01271476560163,31.2196781847652,-1285873.858920799
"(8.0,)",131.01252820014392,31.21993670755325,-1285861.37062389
"(8.0,)",131.01305904174143,31.220785289768788,-1285755.643124739
"(8.0,)",131.01375448887904,31.22172319022908,-1285632.6305663206
"(9.0,)",131.01407416071035,31.22185855533779,-1285602.458157825
"(9.0,)",131.01413439923036,31.22127933162859,-1285650.6963685732
"(9.0,)",131.01380984288193,31.220513161866943,-1285737.394634735
"(9.0,)",131.01318747614206,31.219891043044537,-1285828.1110456656
"(9.0,)",131.01255764505947,31.219642890117125,-1285885.9031520535
"(9.0,)",131.0123096684768,31.2199208180376,-1285875.1622305962
"(9.0,)",131.01280468917253,31.22098566909689,-1285752.179121956
"(9.0,)",131.01366308719804,31.22188845876892,-1285623.0698434869
