wind_speed,30.000000,75.000000,120.000000,165.000000,210.000000,255.000000,300.000000,345.000000
1.000000,-1285716.216325,-1285721.948535,-1285735.133502,-1285748.585963,-1285754.890515,-1285749.896568,-1285735.976803,-1285721.790018
2.000000,-1285697.796628,-1285709.771856,-1285735.218804,-1285761.247758,-1285774.448227,-1285765.383243,-1285736.983755,-1285708.081502
3.000000,-1285680.315857,-1285698.530983,-1285735.378456,-1285773.152238,-1285793.533529,-1285781.506921,-1285738.283485,-1285694.282051
4.000000,-1285663.862540,-1285688.440280,-1285735.622581,-1285784.189761,-1285811.889663,-1285797.972305,-1285739.914591,-1285680.615308
5.000000,-1285648.598550,-1285679.116498,-1285735.901515,-1285794.477806,-1285829.213750,-1285814.478218,-1285741.888645,-1285667.247150
6.000000,-1285634.881867,-1285670.879800,-1285736.246620,-1285804.070046,-1285845.407947,-1285830.773570,-1285744.059336,-1285654.738542
7.000000,-1285622.658418,-1285663.310968,-1285736.600175,-1285812.712105,-1285860.331220,-1285846.475073,-1285736.822965,-1285643.143546
8.000000,-1285612.020296,-1285656.595753,-1285737.004555,-1285820.766140,-1285873.858921,-1285861.370624,-1285755.643125,-1285632.630566
9.000000,-1285602.458158,-1285650.696369,-1285737.394635,-1285828.111046,-1285885.903152,-1285875.162231,-1285752.179122,-1285623.069843
