Time,Latitude,Longitude,Altitude,Angle of Attack,Angle of Sideslip,X-Acceleration,Y-Acceleration,Z-Acceleration,Thrust,True Velocity,Ground Velocity,Pitch,Roll,Yaw,Dynamic Pressure,cp,cg,parachute_deploy_gain,Wind Speed,Wind Direction,Mach,omega_x,omega_y,omega_z,Cmq,Angle of Attack(total),Angle of Attack(gust),True Velocity(gust),Angle of Attack(total).1,Angle of Attack(gust).1,True Velocity(gust).1,Angle of Attack(total).2,Angle of Attack(gust).2,True Velocity(gust).2,Angle of Attack(total).3,Angle of Attack(gust).3,True Velocity(gust).3,Angle of Attack(total).4,Angle of Attack(gust).4,True Velocity(gust).4,Angle of Attack(total).5,Angle of Attack(gust).5,True Velocity(gust).5,Angle of Attack(total).6,Angle of Attack(gust).6,True Velocity(gust).6,Angle of Attack(total).7,Angle of Attack(gust).7,True Velocity(gust).7,Acceleration
0.0,31.222216000000007,131.010392,3.000000004412624,0.0,0.0,0.0,0.0,0.0,2.2828121974499247,0.0,0.0,69.99999999623412,0.0,119.9999999935444,0.0,1.274,1.0271675151847728,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0
0.01,31.222215999997577,131.01039200000497,3.0000015115786223,0.0,0.0,0.0,0.0,0.0,34.24218696174923,9.449212132876803e-11,9.097297935535598e-11,69.99999999624077,-5.486598665553143e-13,119.99999999354591,5.4673351238508454e-21,1.274,1.0271659134330349,0,0.0,0.0,2.7768771310297306e-13,-3.2864878353466853e-19,6.9117888495950975e-19,5.692061405548897e-19,-2.0284883222208794e-31,0.0,89.99999999939844,9.449212132876803e-11,0.0,89.99999999939844,9.449212132876803e-11,0.0,89.99999999939844,9.449212132876803e-11,0.0,89.99999999939844,9.449212132876803e-11,0.0,89.99999999939844,9.449212132876803e-11,0.0,89.99999999939844,9.449212132876803e-11,0.0,89.99999999939844,9.449212132876803e-11,0.0,89.99999999939844,9.449212132876803e-11,0.0
0.02,31.222215999995434,131.01039200000935,3.000002846752722,0.0,0.0,0.0,0.0,0.0,25.871876237766408,1.9522194605591568e-10,1.8802962988293086e-10,69.99999999624764,-9.857278958453534e-13,119.99999999354765,2.3336825164047286e-20,1.274,1.027164492361118,0,0.0,0.0,5.73706410506007e-13,-6.674619624363892e-19,1.4230153513872253e-18,1.1180834903756764e-18,-8.628288809443014e-31,0.0,89.99999999875718,1.9522194605591568e-10,0.0,89.99999999875718,1.9522194605591568e-10,0.0,89.99999999875718,1.9522194605591568e-10,0.0,89.99999999875718,1.9522194605591568e-10,0.0,89.99999999875718,1.9522194605591568e-10,0.0,89.99999999875718,1.9522194605591568e-10,0.0,89.99999999875718,1.9522194605591568e-10,0.0,89.99999999875718,1.9522194605591568e-10,0.0
0.03,31.22221599929441,131.01039200143796,3.0001629274664765,20.42851901156516,-0.0001321515462625,9.818784377891664,-1.816299437388181e-05,3.3498403731086386,180.34219359854663,0.0719803307420643,0.0466791636484935,69.99999999762709,1.4197122707925872e-08,119.9999999945308,0.0031725769618068,1.274,1.0271551940870716,0,0.0,0.0,0.0002115314291553,8.13025706468835e-08,-5.61554240194534e-10,4.927738117186352e-10,1.255428526407075e-13,20.428519011974323,89.57045606847116,0.0719595724257193,20.428519011974323,89.57045606847116,0.0719595724257193,20.428519011974323,89.57045606847116,0.0719595724257193,20.428519011974323,89.57045606847116,0.0719595724257193,20.428519011974323,89.57045606847116,0.0719595724257193,20.428519011974323,89.57045606847116,0.0719595724257193,20.428519011974323,89.57045606847116,0.0719595724257193,20.428519011974323,89.57045606847116,0.0719595724257193,10.37448587570333
0.04,31.222215995173165,131.01039200985667,3.001478892157287,10.47895061588068,-4.688642320688889e-05,48.6824658813748,4.605545367830554e-06,3.349678328353491,548.6359724538078,0.3223203695419394,0.163487912336405,70.0000000037625,9.195232489228008e-08,120.00000000022337,0.0636150598666517,1.274,1.027133720825283,0,0.0,0.0,0.0009472155618659,1.9747098807512125e-07,-1.257337186002025e-08,1.196324720398864e-09,1.2587106345055958e-11,10.478950615984433,87.98309708848748,0.3223130046398044,10.478950615984433,87.98309708848748,0.3223130046398044,10.478950615984433,87.98309708848748,0.3223130046398044,10.478950615984433,87.98309708848748,0.3223130046398044,10.478950615984433,87.98309708848748,0.3223130046398044,10.478950615984433,87.98309708848748,0.3223130046398044,10.478950615984433,87.98309708848748,0.3223130046398044,10.478950615984433,87.98309708848748,0.3223130046398044,48.79756991075154
0.05,31.2222159832726,131.01039203424017,3.00663267308468,5.9418694581190845,6.744898578713235e-07,71.20342485787627,5.4299795646559017e-05,3.3491146764807254,761.6984298824644,0.8898448477055814,0.3892706659671001,70.0000000056114,2.3729450895631361e-07,120.00000001531592,0.4848560298967644,1.274,1.027093426565204,0,0.0,0.0,0.0026150222450711,3.137441706460769e-07,-9.085877937106218e-08,1.8984357068281077e-09,2.5111193949451865e-10,5.94186945811914,84.38385867163318,0.8898449536542005,5.94186945811914,84.38385867163318,0.8898449536542005,5.94186945811914,84.38385867163318,0.8898449536542005,5.94186945811914,84.38385867163318,0.8898449536542005,5.94186945811914,84.38385867163318,0.8898449536542005,5.94186945811914,84.38385867163318,0.8898449536542005,5.94186945811914,84.38385867163318,0.8898449536542005,5.94186945811914,84.38385867163318,0.8898449536542005,71.28214559488512
0.06,31.22221596066432,131.01039208061826,3.017443893631772,4.766280537462201,3.1054308167245185e-05,53.1626621297454,0.0001084907903948,3.348187344131057,590.4875390737208,1.5116257295092363,0.6332468787169772,69.99999994787701,4.503228694783114e-07,120.0000000429418,1.3991759154957433,1.274,1.027050317124926,0,0.0,0.0,0.0044422748540142,4.303514899142491e-07,-3.258647485998224e-07,2.655434591289883e-09,1.529915274979209e-09,4.766280537563083,80.49898901511654,1.5116306075085564,4.766280537563083,80.49898901511654,1.5116306075085564,4.766280537563083,80.49898901511654,1.5116306075085564,4.766280537563083,80.49898901511654,1.5116306075085564,4.766280537563083,80.49898901511654,1.5116306075085564,4.766280537563083,80.49898901511654,1.5116306075085564,4.766280537563083,80.49898901511654,1.5116306075085564,4.766280537563083,80.49898901511654,1.5116306075085564,53.267992295792745
0.07,31.22221592766577,131.01039214833733,3.0337155660187727,4.250896054648255,5.7335812933893086e-05,81.18198678634663,0.0001637293900622,3.3469089023766223,855.2937749779139,2.146122201848171,0.8814834594632343,69.99999972130622,7.315091733246881e-07,120.00000008295788,2.820278432565088,1.274,1.027003201295312,0,0.0,0.0,0.0063068961149567,5.476861023000043e-07,-7.892112221351622e-07,3.6195521332019046e-09,5.260569278101748e-09,4.250896055034253,76.62547292624922,2.146131208136606,4.250896055034253,76.62547292624922,2.146131208136606,4.250896055034253,76.62547292624922,2.146131208136606,4.250896055034253,76.62547292624922,2.146131208136606,4.250896055034253,76.62547292624922,2.146131208136606,4.250896055034253,76.62547292624922,2.146131208136606,4.250896055034253,76.62547292624922,2.146131208136606,4.250896055034253,76.62547292624922,2.146131208136606,81.25094939633735
0.08,31.222215882410527,131.01039224124037,3.056607704283908,4.00270248861974,8.506116451996974e-05,16.29880137082401,0.0002170535967122,3.345326062731524,241.2171988638848,2.7583125721078896,1.1220256854925357,69.99999917094247,1.081895978009328e-06,120.00000013788696,4.658746663497041,1.274,1.0269597189470347,0,0.0,0.0,0.0081059668093005,6.663333898726344e-07,-1.5953414757368005e-06,5.081325395688137e-09,1.3667252733104257e-08,4.002702489522054,73.0037017379317,2.758325933484368,4.002702489522054,73.0037017379317,2.758325933484368,4.002702489522054,73.0037017379317,2.758325933484368,4.002702489522054,73.0037017379317,2.758325933484368,4.002702489522054,73.0037017379317,2.758325933484368,4.002702489522054,73.0037017379317,2.758325933484368,4.002702489522054,73.0037017379317,2.758325933484368,4.002702489522054,73.0037017379317,2.758325933484368,16.638573635942404
0.09,31.222215828565503,131.0103923517767,3.083842399434092,3.9706737706281294,0.0001134737066056,50.35899658622689,0.0002613000516261,3.343618588588821,563.0937377043176,3.2635220425466342,1.325867940515352,69.99999808911183,1.5034586546017164e-06,120.00000020489016,6.521599160101333,1.274,1.026918932011013,0,0.0,0.0,0.0095906496429864,7.87026665010282e-07,-2.741487170824582e-06,7.3149020473177724e-09,2.7787899725090764e-08,3.970673772247005,70.11864505981274,3.263539866954787,3.970673772247005,70.11864505981274,3.263539866954787,3.970673772247005,70.11864505981274,3.263539866954787,3.970673772247005,70.11864505981274,3.263539866954787,3.970673772247005,70.11864505981274,3.263539866954787,3.970673772247005,70.11864505981274,3.263539866954787,3.970673772247005,70.11864505981274,3.263539866954787,3.970673772247005,70.11864505981274,3.263539866954787,50.46987539617911
