Time,Latitude,Longitude,Altitude,Angle of Attack,Angle of Sideslip,X-Acceleration,Y-Acceleration,Z-Acceleration,Thrust,True Velocity,Ground Velocity,Pitch,Roll,Yaw,Dynamic Pressure,cp,parachute_deploy_gain,Wind Speed,Mach,omega_x,omega_y,omega_z,Cmq,Angle of Attack(total),Angle of Attack(gust),True Velocity(gust),Acceleration
0.0,31.222216000000007,131.010392,3.000000004412624,0.0,0.0,0.0,0.0,0.0,2.2828121974499247,0.0,0.0,71.99999999612658,-1.0292491154817412e-14,119.99999999354436,0.0,15.288,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,90.0,0.0,0.0
0.01,31.22221599999862,131.01039200000284,3.0000009727369523,0.0,0.0,0.0,0.0,0.0,34.24218696174923,5.916279387578309e-11,5.734623670548936e-11,71.99999999613168,-5.86671995824671e-13,119.9999999935449,2.1432944861733093e-21,15.288,0.0,0.0,1.7386402909615473e-13,-3.4220131069073734e-19,7.115076756936125e-19,5.488773498207866e-19,-1.1574302492039043e-31,0.0,89.99999999962336,5.916279387578309e-11,0.0
0.02,31.22221599999738,131.01039200000537,3.0000018317022668,0.0,0.0,0.0,0.0,0.0,25.871876237766408,1.2265415415436536e-10,1.1895038237325684e-10,71.9999999961369,-1.1836364828043265e-12,119.99999999354544,9.211895886571454e-21,15.288,0.0,0.0,3.6044858651615574e-13,-6.979551485375437e-19,1.4162390878091906e-18,1.0909784360635388e-18,-4.776231873571785e-31,0.0,89.99999999921916,1.2265415415436536e-10,0.0
0.03,31.22221599921969,131.01039200159065,3.0001883335529382,18.80143492628821,-0.0001350810307892,10.931161642028636,-1.75114298675875e-05,3.026590975169265,180.34219359854663,0.0798232026864394,0.0478175828508887,71.99999999765336,-5.341802909786072e-12,119.99999999436793,0.0039016003969354,15.288,0.0,0.0,0.0002345795854893,3.788270153300133e-17,-7.771883375645477e-10,1.1422790048099072e-11,1.7057759223764537e-13,18.80143492675591,89.51882325913425,0.079801984207741,11.342422482672777
0.04,31.222215995131297,131.01039200995308,3.001692634342189,9.19442604083399,-4.49173898918486e-05,52.29595764159784,6.445392950801871e-06,3.026413589912948,548.6359724538078,0.3504174083926908,0.1601447499964056,72.00000000319055,-3.111420077280171e-11,119.99999999870242,0.0751892535633216,15.288,0.0,0.0,0.0010297854387864,2.0082066977226968e-15,-1.520937588847922e-08,2.5623342884322286e-11,1.4654248781413086e-11,9.19442604094277,87.798916624545,0.3504103527855857,52.383455068075136
0.05,31.222215983575865,131.01039203366796,3.0074067499493786,5.158590039700252,1.707592688632746e-06,76.26884281015512,5.843947534199429e-05,3.0258124765658088,761.6984298824644,0.9592973585397016,0.3772700771701255,72.0000000004862,-1.3608731808076822e-10,120.0000000109612,0.5634958029902841,15.288,0.0,0.0,0.0028191251099456,2.086299069701397e-14,-1.0551247853743037e-07,3.973493515691201e-11,2.783064866637575e-10,5.158590039700515,83.94063169874748,0.959297626767734,76.32884071402438
0.06,31.222215961742712,131.0103920785344,3.019291017943491,4.109521257467909,3.140103977270004e-05,57.06876634333886,0.0001151069734147,3.024834864051463,590.4875390737208,1.6257536642597354,0.6118982818704327,71.99999992547217,-3.5903296759057166e-10,120.00000003412836,1.6184272268450337,15.288,0.0,0.0,0.0047776672697797,1.0694899894620088e-13,-3.741090980393931e-07,5.521401959501359e-11,1.6723176417636091e-09,4.109521257587776,79.78719176344794,1.6257585967235286,57.148873286519276
0.07,31.222215929936205,131.01039214392435,3.0371334573469446,3.649087515174788,5.707077112564807e-05,86.89643797254193,0.0001728541558773,3.0234947746384675,855.2937749779139,2.3057260079826607,0.8506307413593818,71.99999965378231,-6.907496536790437e-10,120.00000006788592,3.255354923652711,15.288,0.0,0.0,0.0067759305364855,3.495199904512709e-13,-9.036515915819006e-07,7.594816279105379e-11,5.728932851326001e-09,3.6490875156204896,75.6601668283889,2.305734972638426,86.94902215090157
0.08,31.222215886364623,131.01039223353447,3.0621840248716574,3.4254446680114707,8.413075603463509e-05,17.831756866644035,0.0002285946601282,3.021841001032126,241.2171988638848,2.961944911520492,1.0819695676346892,71.99999900671328,-1.141745983122182e-09,120.00000011415082,5.371998197385977,15.288,0.0,0.0,0.0087043901031071,8.800530155962314e-13,-1.829098470920821e-06,1.0943386634701918e-10,1.4896287129277132e-08,3.4254446690434226,71.81713637501419,2.9619581267487467,18.085991154451033
0.09,31.22221583454733,131.01039234010327,3.0919888289029,3.389560809024919,0.0001118726864415,54.09031716446879,0.0002748660999733,3.020060228038602,563.0937377043176,3.504225426410036,1.2780161667917422,71.99999774508822,-1.634190085504106e-09,120.00000016921716,7.519080503822694,15.288,0.0,0.0,0.0102980157586766,1.865782139518716e-12,-3.1503298654458527e-06,1.6284478329871028e-10,3.03536411425607e-08,3.389560810868955,68.76526501308032,3.504242999330529,54.17456206384468
0.1,31.22221577423132,131.0103924641528,3.1267248829165366,3.4447939461814814,0.0001419149103147,51.372195336549765,0.0003131602029306,3.0182021883815127,538.7437595981919,3.950569597142709,1.4443465951180965,71.99999562056465,-2.1287748602259068e-09,120.00000023339832,9.55649523509932,15.288,0.0,0.0,0.0116097108366932,3.485956000178229e-12,-4.949356763187612e-06,2.4573266549165286e-10,5.3761299442583966e-08,3.444793949101151,66.34639928474206,3.9505918890846927,51.460781166288626
