Time,Latitude,Longitude,Altitude,Angle of Attack,Angle of Sideslip,X-Acceleration,Y-Acceleration,Z-Acceleration,Thrust,True Velocity,Ground Velocity,Pitch,Roll,Yaw,Dynamic Pressure,cp,cg,parachute_deploy_gain,Wind Speed,Wind Direction,Mach,omega_x,omega_y,omega_z,Cmq,Angle of Attack(total),Angle of Attack(gust),True Velocity(gust),Acceleration
10.38,31.220534568953983,131.01377491230417,54.0422199688909,-1.476978125184432,0.0261691028118761,5.000624334823812,0.0706593772332719,9.72454153672528,0.0,61.49086858224691,36.96321303277482,-41.09156180216157,0.3544575151736381,120.11609312028942,2303.967004786453,1.274,1.0150000015428002,0,10.406266615207652,300.0001285565649,0.1808097620880756,5.232310417432996e-06,0.0284902547987006,-0.000731353126176,-0.0054145692725177,1.4772098877673747,8.481707890858722,61.49497921516123,10.935170075728971
10.39,31.220532886651096,131.0137782701624,53.6496628025776,-1.3759074285322903,0.0269320906940204,4.9377563436124206,0.0606683595578354,10.210458235156096,0.0,61.53062786267824,36.948311045233936,-41.07523248704362,0.3547377404453628,120.1156729952354,2307.034452168493,1.274,1.0150000015428002,0,10.393716441194636,300.0001285565649,0.1809258695451102,5.1932946359422e-06,0.0385093253796512,-0.00055206077463,-0.0073237008668984,1.3761709377710698,8.460331419584715,61.53485834543596,11.341894715196535
10.4,31.22053120500229,131.013781626691,53.25615371935493,-1.2697075889927227,0.0275883019112897,4.875787027285376,0.050426353597817,10.6579510622264,0.0,61.57046297195556,36.9337481434758,-41.053163413866,0.3548972277079708,120.11543647141738,2310.109955133444,1.274,1.0150000015428002,0,10.38112716174268,300.0001285565649,0.1810421969977839,5.153837313279478e-06,0.0478392381262696,-0.000367562457508,-0.0091042974954326,1.2700072249209695,8.439228129826853,61.574796532118576,11.720399429942411
10.41,31.220529523991942,131.01378498192173,52.861697343127055,-1.1587227772948483,0.0281360367833839,4.815105956769793,0.0399727231188738,11.065098853529095,0.0,61.61027607407216,36.9195432059625,-41.02574945308808,0.3549356783667437,120.1153841384675,2313.186178809201,1.274,1.0150000015428002,0,10.368372616435485,300.0001285565649,0.1811584567725424,5.113992940005152e-06,0.0564440255275009,-0.0001785810895737,-0.0107492302821418,1.1590642791755497,8.418651293677817,61.61469567221752,12.067446118872226
10.42,31.22052784360364,131.0137883358879,52.46629848369862,-1.043454850272853,0.0285726202042009,4.756136539035157,0.0293482586229878,11.430187562941654,0.0,61.650147969403314,36.90571441453881,-40.99340607919432,0.3548533668602324,120.11551577411768,2316.269191325557,1.274,1.0150000015428002,0,10.355559017528952,300.0001285565649,0.1812748864602784,5.073817432663364e-06,0.0642899453668961,1.4146258456626032e-05,-0.0122518005301234,1.0438459316027324,8.398841911847756,61.65463614590365,12.380261864042117
10.43,31.22052616382004,131.0137916886245,52.06996214174573,-0.924301681068978,0.0288970288061544,4.699334145029038,0.0185941762707258,11.751619612191076,0.0,61.69000432241056,36.892277998339615,-40.95656809566028,0.3546511267814185,120.11583035743924,2319.353412130396,1.274,1.0150000015428002,0,10.342590590162285,300.0001285565649,0.1813912674914865,5.033368192180111e-06,0.0713466227641133,0.0002098627213446,-0.0136059071383963,0.9247532446341056,8.380033536865222,61.694543456888525,12.656407494216552
10.44,31.22052448462308,131.01379504016782,51.67269346408377,-0.8017831306243184,0.0291076076773509,4.6451792356058,0.0077526839956819,12.028007640597036,0.0,61.72990733883923,36.87924917871944,-40.91568770559002,0.3543303345663005,120.11632608474817,2322.443519424449,1.274,1.0150000015428002,0,10.329549610343088,300.0001285565649,0.1815077827806246,4.992704253559368e-06,0.0775863141119429,0.0004078019289562,-0.0148059612945776,0.8023112775434994,8.362437675320004,61.7344795509647,12.893824802488712
10.45,31.220522805994,131.0137983905553,51.27449774665063,-0.6763360388564934,0.0292041176031107,4.594174465610672,-0.0031338491073332,12.258103904660468,0.0,61.76979609779141,36.866641200856414,-40.87123300413458,0.3538928889760346,120.11700039108976,2325.534933140421,1.274,1.0150000015428002,0,10.316357645290354,300.0001285565649,0.1816242532048908,4.951886312530428e-06,0.0829847900393887,0.0006071845052019,-0.0158470034654226,0.6769662313042698,8.3462523704444,61.7743834696586,13.090743301238916
10.46,31.22052112791345,131.0138017398257,50.87538039673281,-0.5484988853714615,0.0291858666273325,4.54683611971416,-0.0140224600037311,12.440877388730556,0.0,61.8097244054083,36.854466075465965,-40.82368596502665,0.3533411886319033,120.11784997407794,2328.631705122926,1.274,1.0150000015428002,0,10.303086234500004,300.0001285565649,0.181740836980046,4.910976805877502e-06,0.0875207566406336,0.00080722697066,-0.0167246491573778,0.5492748092197106,8.331644830058439,61.81430891041929,13.245729331763846
10.47,31.22051945036146,131.01380508801864,50.4753469309775,-0.4187319914571462,0.0290534953398297,4.503690665857049,-0.0248703557465963,12.575450567288287,0.0,61.84963449712606,36.84273377363112,-40.77354075876888,0.3526781063280465,120.11887082226524,2331.729485857916,1.274,1.0150000015428002,0,10.289660921492995,300.0001285565649,0.1818573642663037,4.87003987741511e-06,0.0911765901831219,0.001007139360139,-0.0174351756494401,0.4197386939912412,8.318764313686476,61.85419820930652,13.357612253641523
